Column,Missing_Values,Missing_Percentage,Data_Type
CCS,72,16.666666666666664,float64
CDR,72,16.666666666666664,float64
PDIR,72,16.666666666666664,float64
PERSIANN,72,16.666666666666664,float64
LST,47,10.87962962962963,float64
GSMaP_MVK,18,4.166666666666666,float64
CHIRPS,0,0.0,float64
Distance_Sea_meter,0,0.0,float64
ERA5,0,0.0,float64
GSMaP_Gauge,0,0.0,float64
IMERG,0,0.0,float64
Land_Aspect_Degree_30m,0,0.0,float64
Land_Khulna_SRTM_DEM,0,0.0,float64
Land_Slope_Degree_30m,0,0.0,float64
NDVI,0,0.0,float64
all_predictors_available,0,0.0,bool
date,0,0.0,datetime64[ns]
inside_raster_bounds,0,0.0,bool
latitude,0,0.0,float64
longitude,0,0.0,float64
missing_predictor_count,0,0.0,int64
month,0,0.0,int64
month_cos,0,0.0,float64
month_id,0,0.0,object
month_sin,0,0.0,float64
rainfall_mm,0,0.0,float64
raster_x,0,0.0,float64
raster_y,0,0.0,float64
season,0,0.0,object
station_id,0,0.0,object
station_name,0,0.0,object
valid_predictor_count,0,0.0,int64
year,0,0.0,int64
